x, y, height, width
40,3040,16,32
56,3040,16,32
72,448,16,64
72,848,16,80
72,1104,16,64
72,1296,16,80
72,1472,16,64
72,2000,16,64
72,2624,16,80
72,2752,16,16
72,2976,16,16
72,3040,16,32
88,3040,16,32
104,3040,16,32
120,384,16,16
120,2080,16,32
120,3040,16,32
136,240,16,48
136,368,16,32
136,448,16,16
136,544,16,16
136,736,16,32
136,848,16,80
136,1088,16,16
136,1184,16,32
136,1264,16,64
136,1360,16,48
136,1648,16,32
136,1952,16,32
136,2080,16,32
136,2576,16,16
136,2720,16,16
136,2960,16,32
136,3040,16,32
138,2080,16,32
140,2080,16,32
142,2080,16,32
144,2080,16,32
146,2080,16,32
148,2080,16,32
150,2080,16,32
152,352,16,48
152,544,16,16
152,736,16,32
152,1184,16,32
152,1648,16,32
152,1952,16,32
152,2016,16,32
152,2080,16,32
152,2464,16,16
152,2816,16,32
152,3040,16,32
154,736,16,32
154,1184,16,32
154,1648,16,32
154,1952,16,32
154,2080,16,32
156,736,16,32
156,1184,16,32
156,1648,16,32
156,1952,16,32
156,2080,16,32
158,736,16,32
158,1184,16,32
158,1648,16,32
158,1952,16,32
158,2080,16,32
160,736,16,32
160,1184,16,32
160,1648,16,32
160,1952,16,32
160,2080,16,32
162,736,16,32
162,1184,16,32
162,1648,16,32
162,1952,16,32
162,2080,16,32
164,736,16,32
164,1184,16,32
164,1648,16,32
164,1952,16,32
164,2080,16,32
166,736,16,32
166,1184,16,32
166,1648,16,32
166,1952,16,32
166,2080,16,32
168,336,16,64
168,544,16,32
168,736,16,32
168,1184,16,32
168,1648,16,32
168,1840,16,32
168,1952,16,32
168,2016,16,32
168,2080,16,32
168,2464,16,16
168,2816,16,32
168,3040,16,32
170,736,16,32
170,1184,16,32
170,1648,16,32
170,1952,16,32
170,2016,16,32
170,2080,16,32
170,2816,16,32
172,736,16,32
172,1184,16,32
172,1648,16,32
172,1952,16,32
172,2016,16,32
172,2080,16,32
172,2816,16,32
174,736,16,32
174,1184,16,32
174,1648,16,32
174,1952,16,32
174,2016,16,32
174,2080,16,32
174,2816,16,32
176,736,16,32
176,1184,16,32
176,1648,16,32
176,1952,16,32
176,2016,16,32
176,2080,16,32
176,2816,16,32
178,736,16,32
178,1184,16,32
178,1648,16,32
178,1952,16,32
178,2016,16,32
178,2080,16,32
178,2816,16,32
180,736,16,32
180,1184,16,32
180,1648,16,32
180,1952,16,32
180,2016,16,32
180,2080,16,32
180,2816,16,32
182,736,16,32
182,1184,16,32
182,1648,16,32
182,1952,16,32
182,2016,16,32
182,2080,16,32
182,2816,16,32
184,320,16,80
184,544,16,32
184,736,16,32
184,1184,16,32
184,1648,16,32
184,1840,16,32
184,1952,16,32
184,2016,16,32
184,2080,16,32
184,2464,16,16
184,2816,16,32
184,3040,16,32
184,3200,16,16
200,0,16,1472
200,1536,16,160
200,1744,16,480
200,2272,16,160
200,2464,16,944
