x, y, height, width
72,400,16,16
72,1024,16,16
72,1056,16,16
72,1472,16,16
72,2368,16,64
72,3440,16,32
88,3424,16,48
104,3408,16,64
120,3392,16,80
136,400,16,16
136,1024,16,16
136,1056,16,16
136,1440,16,64
136,1856,16,32
136,2112,16,32
136,2336,16,128
136,3376,16,96
136,3520,16,16
152,336,16,32
152,1648,16,16
152,1856,16,32
152,2112,16,32
152,3024,16,16
152,3360,16,112
154,1856,16,32
154,2112,16,32
156,1856,16,32
156,2112,16,32
158,1856,16,32
158,2112,16,32
160,1856,16,32
160,2112,16,32
162,1856,16,32
162,2112,16,32
164,1856,16,32
164,2112,16,32
166,1856,16,32
166,2112,16,32
168,336,16,32
168,1648,16,16
168,1856,16,32
168,2112,16,32
168,2608,16,32
168,3024,16,16
168,3344,16,128
170,336,16,32
170,1856,16,32
170,2112,16,32
172,336,16,32
172,1856,16,32
172,2112,16,32
174,336,16,32
174,1856,16,32
174,2112,16,32
176,336,16,32
176,1856,16,32
176,2112,16,32
178,336,16,32
178,1856,16,32
178,2112,16,32
180,336,16,32
180,1856,16,32
180,2112,16,32
182,336,16,32
182,1856,16,32
182,2112,16,32
184,336,16,32
184,1648,16,16
184,1856,16,32
184,2112,16,32
184,2608,16,32
184,3024,16,16
184,3328,16,144
184,3600,16,16
200,0,16,512
200,544,16,704
200,1312,16,1072
200,2416,16,368
200,2832,16,48
200,2912,16,128
200,3072,16,736
