x, y, height, width
56,640,16,8
56,647,16,8
56,655,16,8
56,663,16,8
56,671,16,8
56,679,16,8
56,687,16,8
56,695,16,8
56,703,16,8
56,711,16,8
56,719,16,8
56,727,16,8
56,735,16,8
56,743,16,9
72,416,16,8
72,423,16,8
72,431,16,8
72,439,16,8
72,447,16,8
72,455,16,8
72,463,16,8
72,471,16,8
72,479,16,8
72,487,16,9
72,960,16,8
72,967,16,8
72,975,16,8
72,983,16,8
72,991,16,8
72,999,16,8
72,1007,16,8
72,1015,16,9
72,2272,16,16
72,2288,16,16
88,1216,16,8
88,1223,16,8
88,1231,16,8
88,1239,16,8
88,1247,16,8
88,1255,16,8
88,1263,16,8
88,1271,16,8
88,1279,16,8
88,1287,16,8
88,1295,16,8
88,1303,16,9
88,2272,16,16
88,2288,16,16
89,2046,8,8
89,2054,8,8
89,2062,8,8
89,2070,8,8
89,2078,8,8
89,2086,8,8
104,1664,16,8
104,1671,16,8
104,1679,16,8
104,1687,16,8
104,1695,16,8
104,1703,16,8
104,1711,16,8
104,1719,16,8
104,1727,16,8
104,1735,16,8
104,1743,16,8
104,1751,16,8
104,1759,16,8
104,1767,16,8
104,1775,16,8
104,1783,16,9
104,2240,16,16
104,2256,16,16
104,2272,16,16
104,2288,16,16
120,560,16,8
120,567,16,8
120,575,16,8
120,583,16,8
120,591,16,8
120,599,16,8
120,607,16,8
120,615,16,8
120,623,16,8
120,631,16,9
120,2240,16,16
120,2256,16,16
120,2272,16,16
120,2288,16,16
121,1375,8,8
121,1383,8,8
121,1391,8,8
121,1399,8,8
121,1407,8,8
121,1415,8,8
136,384,16,8
136,391,16,8
136,399,16,8
136,407,16,8
136,415,16,8
136,423,16,8
136,431,16,8
136,439,16,8
136,447,16,8
136,455,16,8
136,463,16,8
136,471,16,8
136,479,16,8
136,487,16,8
136,495,16,8
136,503,16,9
136,1120,16,8
136,1127,16,8
136,1135,16,8
136,1143,16,8
136,1151,16,8
136,1159,16,9
136,1856,16,8
136,1863,16,8
136,1871,16,8
136,1879,16,8
136,1887,16,8
136,1895,16,8
136,1903,16,8
136,1911,16,9
136,1952,16,8
136,1959,16,8
136,1967,16,8
136,1975,16,8
136,1983,16,8
136,1991,16,8
136,1999,16,8
136,2007,16,9
136,2208,16,16
136,2224,16,16
136,2240,16,16
136,2256,16,16
136,2272,16,16
136,2288,16,16
137,1503,8,8
137,1511,8,8
137,1519,8,8
137,1527,8,8
137,1535,8,8
137,1543,8,8
152,944,16,16
152,2208,16,16
152,2224,16,16
152,2240,16,16
152,2256,16,16
152,2272,16,16
152,2288,16,16
159,880,8,8
159,888,8,8
159,896,8,8
159,904,8,8
159,912,8,8
159,920,8,8
168,1568,16,8
168,1575,16,8
168,1583,16,8
168,1591,16,8
168,1599,16,8
168,1607,16,8
168,1615,16,8
168,1623,16,9
168,2208,16,16
168,2224,16,16
168,2240,16,16
168,2256,16,16
168,2272,16,16
168,2288,16,16
184,288,16,8
184,295,16,8
184,303,16,8
184,311,16,8
184,319,16,8
184,327,16,8
184,335,16,8
184,343,16,9
184,512,16,8
184,519,16,8
184,527,16,8
184,535,16,8
184,543,16,8
184,551,16,9
184,2208,16,16
184,2224,16,16
184,2240,16,16
184,2256,16,16
184,2272,16,16
184,2288,16,16
184,2432,16,16
200,0,16,16
200,16,16,16
200,32,16,16
200,48,16,16
200,64,16,16
200,80,16,16
200,96,16,16
200,112,16,16
200,128,16,16
200,144,16,16
200,160,16,16
200,176,16,16
200,192,16,16
200,208,16,16
200,224,16,16
200,240,16,16
200,800,16,8
200,807,16,8
200,815,16,8
200,823,16,8
200,831,16,8
200,839,16,8
200,847,16,8
200,855,16,9
200,944,16,8
200,951,16,8
200,959,16,8
200,967,16,8
200,975,16,8
200,983,16,8
200,991,16,8
200,999,16,8
200,1007,16,8
200,1015,16,9
200,1040,16,8
200,1047,16,8
200,1055,16,8
200,1063,16,8
200,1071,16,8
200,1079,16,8
200,1087,16,8
200,1095,16,8
200,1103,16,8
200,1111,16,9
200,1808,16,8
200,1815,16,8
200,1823,16,8
200,1831,16,8
200,1839,16,8
200,1847,16,9
200,2064,16,16
200,2080,16,16
200,2096,16,16
200,2112,16,16
200,2128,16,16
200,2144,16,16
200,2160,16,16
200,2176,16,16
200,2192,16,16
200,2208,16,16
200,2224,16,16
200,2240,16,16
200,2256,16,16
200,2272,16,16
200,2288,16,16
200,2304,16,16
200,2320,16,16
200,2336,16,16
200,2352,16,16
200,2368,16,16
200,2384,16,16
200,2400,16,16
200,2416,16,16
200,2432,16,16
200,2448,16,16
200,2464,16,16
200,2480,16,16
200,2496,16,16
200,2512,16,16
200,2528,16,16
200,2544,16,16
200,2560,16,16
200,2576,16,16
200,2592,16,16
200,2608,16,16
