x, y, height, width
72,352,16,16
72,1280,16,128
72,1456,16,64
72,1744,16,16
72,1936,16,48
72,2048,16,64
72,3008,16,32
88,2992,16,48
104,2976,16,64
120,1024,16,16
120,2960,16,80
136,256,16,16
136,320,16,80
136,736,64,32
136,912,64,32
136,1232,16,48
136,1504,16,16
136,1600,16,32
136,1696,16,16
136,1792,16,16
136,1888,16,16
136,2064,16,32
136,2192,16,16
136,2240,16,16
136,2416,16,32
136,2480,16,16
136,2688,16,64
136,2944,16,96
152,608,48,32
152,2176,16,32
152,2240,16,32
152,2400,16,48
152,2480,16,32
152,2928,16,112
168,448,32,32
168,2160,16,48
168,2240,16,48
168,2384,16,64
168,2480,16,48
168,2608,32,32
168,2864,16,32
168,2912,16,128
184,2144,16,64
184,2240,16,64
184,2368,16,80
184,2480,16,64
184,2864,16,176
184,3168,16,16
200,0,16,1104
200,1136,16,240
200,1424,16,1024
200,2480,16,896
